symbol, frequency
" п",0.018221881514625903
"о ",0.01776542782216564
"и ",0.01681750481152214
" с",0.01633854107395425
"е ",0.015106741383342316
"а ",0.014867884793589138
" в",0.014310135898144546
" н",0.014137558885652723
"то",0.011912816094182028
"ст",0.011480123004890933
"на",0.011052432147845976
"но",0.009713084463942034
" о",0.009709332789757429
" к",0.009544259125634814
"я ",0.009337917045481547
" и",0.009264134119850984
"ь ",0.008926483443236544
"по",0.008835192704744492
"ко",0.008329967247884368
"ал",0.008251182090007666
"не",0.008184902512746313
"ен",0.008156139677331009
"ро",0.007924786435947042
"м ",0.007858506858685688
"ни",0.007814737326531965
"ра",0.007717193797732238
" д",0.007528359530440459
"ли",0.007525858414317389
" т",0.007433317117763802
"ов",0.00719320996994909
"го",0.0071106731378877824
"й ",0.007108172021764713
"ор",0.0070844114185955485
"л ",0.006896827709365305
"в ",0.006853058177211581
"пр",0.006770521345150274
" м",0.006344081046166852
"ре",0.006341579930043782
"во",0.0062065196593980064
"ос",0.006177756823982702
"ол",0.0061302356176443735
"ка",0.006127734501521304
"от",0.00593514856004492
"ы ",0.005905135166568081
"ер",0.005873871215029707
"ть",0.0058000882893991445
"ан",0.00578633215072226
"та",0.005675032483245648
"у ",0.005656274112322624
"ат",0.005651271880076484
"ла",0.005651271880076484
"те",0.005481195983707729
"ил",0.005469940961153915
"да",0.005418668080630982
" б",0.005333630132446605
"ва",0.005319873993769719
"ти",0.005239838277831482
"т ",0.005169807026385524
"ас",0.005092272426570357
"ло",0.005008485036447514
"ит",0.00500223224613984
"он",0.004938453785001557
"ом",0.004905939275401648
"ес",0.004868422533555599
"ел",0.004728360030663683
"ве",0.004710852217802194
"ог",0.004653326546971586
"за",0.004560785250417999
"с ",0.00452076739244888
"ле",0.00451826627632581
"од",0.004514514602141206
"ны",0.004513264044079671
"ет",0.004475747302233621
"х ",0.0043569442863878
" р",0.004316926428418682
"де",0.004305671405864867
" з",0.0041693605771575565
"ри",0.0040355508645733154
"ин",0.0040255464000810365
" ч",0.004021794725896431
"к ",0.003986779100173452
"об",0.003963018497004288
" у",0.003940508451896659
"ем",0.0038967389197429353
"н ",0.0038917366874967954
"ак",0.0038717277585122362
"мо",0.0038529693875892115
"ск",0.003820454877989303
"ед",0.0037729336716509744
"ам",0.0037541753007279497
" г",0.0037416697201126
"ме",0.0037254124653126456
"ль",0.003627868936512919
"до",0.003551584894759286
"ой",0.003541580430267007
"ся",0.0035115670367901674
"же",0.0033439922565444828
"се",0.003217685892329452
"ру",0.0031676635698680536
" е",0.003160160221498844
"ми",0.0031188918054681903
"па",0.0030651178088221868
"бы",0.0030526122282068372
"ис",0.003030102183099208
"нн",0.003001339347683904
"аз",0.0029725765122685997
"ки",0.0029500664671609704
"ег",0.0029225541898072016
"си",0.002912549725314922
"ав",0.002897543028576502
"им",0.0028637779609150585
"ма",0.002846270148053569
"ди",0.002805001732022915
"тв",0.0027962478255921706
"ви",0.0027874939191614256
"со",0.002769986106299936
"че",0.002759981641807657
