symbol, frequency
" п",0.01822183593969824
"о ",0.017765383388878814
"и ",0.01681746274909491
" с",0.016338500209467952
"е ",0.015106703599722377
"а ",0.014867847607375773
" в",0.014310100106922448
" н",0.014137523526064691
"то",0.011912786298920145
"ст",0.011480094291842005
"на",0.011052404504498872
"но",0.009713060170450637
" о",0.009709308505649382
" к",0.009544235254394138
"я ",0.009337893690325082
" и",0.009264110949233722
"ь ",0.008926461117120723
"по",0.008835170606956837
"ко",0.008329946413721088
"ал",0.008251161452894722
"не",0.008184882041405874
"ен",0.008156119277929582
"ро",0.007924766615185489
"м ",0.00785848720369664
"ни",0.007814717781015326
"ра",0.007717174496182681
" д",0.007528340701186151
"ли",0.007525839591318648
" т",0.007433298526221011
"ов",0.007193191978940655
"го",0.007110655353313033
"й ",0.007108154243445529
"ор",0.007084393699704244
"л ",0.006896810459641466
"в ",0.006853041036960151
"пр",0.006770504411332529
" м",0.006344065178923147
"ре",0.006341564069055643
"во",0.006206504136210444
"ос",0.0061777413727341505
"ол",0.006130220285251581
"ка",0.006127719175384076
"от",0.005935133715586291
"ы ",0.0059051203971762466
"ер",0.005873856523832451
"ть",0.005800073782741092
"ан",0.005786317678469821
"та",0.005675018289365906
"у ",0.0056562599653596285
"ла",0.005651257745624621
"ат",0.005651257745624621
"те",0.005481182274634369
"ил",0.005469927280230602
"да",0.005418654527946777
" б",0.0053336167924516505
"ва",0.00531986068818038
"ти",0.005239825172420261
"т ",0.005169794096130158
"ас",0.0050922596902375425
"ло",0.005008472509676168
"ит",0.0050022197350074096
"он",0.004938441433386065
"ом",0.004905927005108517
"ес",0.004868410357095961
"ел",0.0047283482045157536
"ве",0.004710840435443228
"ог",0.0046533149084906425
"за",0.004560773843393005
"с ",0.0045207560855129465
"ле",0.004518254975645442
"од",0.004514503310844187
"ны",0.0045132527559104355
"ет",0.00447573610789788
"х ",0.004356933389191454
" р",0.004316915631311395
"де",0.0043056606369076275
" з",0.004169350149128676
"ри",0.004035540771217228
"ин",0.004025536331747213
" ч",0.004021784666945957
"к ",0.003986769128800905
"об",0.00396300858505962
" у",0.0039404985962520865
"ем",0.003896729173570772
"н ",0.0038917269538357646
"ак",0.003871718074895735
"мо",0.0038529597508894574
"ск",0.003820445322611909
"ед",0.0037729242351293387
"ам",0.003754165911123061
" г",0.0037416603617855424
"ме",0.003725403147646768
"ль",0.0036278598628141237
"до",0.0035515760118552606
"ой",0.003541571572385246
"ся",0.0035115582539752017
"же",0.0033439838928524535
"се",0.0032176778445435162
"ру",0.003167655647193442
" е",0.003160152317590931
"ми",0.00311888400477712
"па",0.0030651101426257903
"бы",0.003052604593288272
"ис",0.003030094604480738
"нн",0.0030013318410044456
"аз",0.002972569077528153
"ки",0.00295005908872062
"ег",0.002922546880178079
"си",0.0029125424407080644
"ав",0.002897535781503042
"им",0.002863770798291742
"ма",0.002846263029219216
"ди",0.002804994716405405
"тв",0.002796240831869142
"ви",0.002787486947332879
"со",0.002769979178260353
"че",0.002759974738790338
"чт",0.0027562230739890826
"га",0.002738715304916557
"ну",0.0027337130851815493
"сл",0.0026899436625002346
"тр",0.0026886931075664824
"ю ",0.002632418135547649
"вы",0.0026036553720713567
"ик",0.0025298726309799973
"пл",0.0025061120872387124
"из",0.002448586560286127
" л",0.0023848082586647823
"ар",0.0023760543741285197
"ие",0.0023310343965134528
"ус",0.002269757204759612
"ид",0.0022272383370120492
"бо",0.0022247372271445454
"ив",0.0021384489367156675
"ок",0.002089677294299345
"сь",0.002073420080160571
"сп",0.0020359034321480157
"ей",0.0019658723558579117
"са",0.00196462180092416
"их",0.0019633712459904084
"вс",0.001939610702249123
"пе",0.0018920896147665526
"ад",0.00186332685129026
"му",0.0018195574286089453
"ия",0.0018183068736751934
" э",0.0018070518792714268
"ое",0.0017895441101989007
"чи",0.0017807902256626379
"ля",0.001718262478975045
"ры",0.0017145108141737896
"ож",0.0016982536000350156
" а",0.0016794952760287377
"кр",0.00166073695202246
"ше",0.0016494819576186933
"св",0.0016494819576186933
"ку",0.0016394775181486786
"ты",0.0016219697490761525
"ду",0.0015769497714610858
"дн",0.0015544397826535526
"бе",0.0015519386727860488
"оз",0.001543184788249786
"ыл",0.0015281781290447636
"ча",0.0015281781290447636
"ши",0.0015231759093097563
"ый",0.0015119209149059894
"ые",0.0014981648106347193
"ул",0.0014956637007672155
"бр",0.001490661481032208
"зн",0.001490661481032208
"лс",0.0014844087063634488
"вн",0.0014719031570259303
"жи",0.0014681514922246747
"гл",0.0014681514922246747
"ых",0.0014556459428871561
"ут",0.0014518942780859007
"хо",0.0014506437231521488
"аб",0.0014506437231521488
"ая",0.0014368876188808784
"ще",0.0014343865090133746
" я",0.0014293842892783672
"з ",0.001421880959675856
"ев",0.0014168787399408487
"уд",0.0014043731906033302
"д ",0.0014031226356695783
"ои",0.0013681070975245266
"мн",0.0013643554327232709
"лу",0.0013505993284520005
"оч",0.0013418454439157376
"эт",0.0013030782409694302
" ж",0.0012855704718969044
"тн",0.001270563812691882
"оп",0.0012693132577581302
"ым",0.0012668121478906264
"уч",0.0012555571534868598
"бл",0.0012342977196130782
"лэ",0.0012130382857392969
"мы",0.001211787730805545
"аж",0.001210537175871793
"эг",0.0012092866209380412
"ек",0.0012017832913355302
"бу",0.0011905282969317634
"кт",0.0011880271870642598
"ту",0.001185526077196756
"еб",0.001185526077196756
"ьн",0.0011830249673292523
" х",0.0011805238574617487
"ий",0.001161765533455471
"ят",0.0011480094291842005
"уж",0.0011442577643829448
"др",0.0011217477755754116
