,b,freq
0,е,0.0077783842794759825
1,о,0.007096069868995633
2,а,0.005322052401746725
3,н,0.0049126637554585155
4,и,0.004503275109170306
5,т,0.004230349344978166
6,л,0.003957423580786026
7,п,0.003138646288209607
8,с,0.0028657205240174674
9,в,0.0028657205240174674
10,р,0.0025927947598253275
11,к,0.0025927947598253275
12,м,0.0024563318777292577
13,у,0.002319868995633188
14,д,0.002046943231441048
15,я,0.0017740174672489083
16,ы,0.0013646288209606986
17,з,0.0012281659388646289
18,й,0.0012281659388646289
19,ч,0.001091703056768559
20,ю,0.000955240174672489
21,ж,0.000955240174672489
22,ь,0.000955240174672489
23,б,0.000955240174672489
24,г,0.0006823144104803493
25,ш,0.0005458515283842794
26,э,0.0004093886462882096
27,х,0.0002729257641921397
28,щ,0.0002729257641921397
