,b,freq
0,е,0.0072325327510917034
1,о,0.006823144104803494
2,и,0.005731441048034935
3,т,0.005594978165938865
4,р,0.005049126637554585
5,с,0.004503275109170306
6,н,0.004093886462882096
7,л,0.003820960698689956
8,а,0.0035480349344978166
9,в,0.003002183406113537
10,к,0.0028657205240174674
11,п,0.0027292576419213972
12,ы,0.002183406113537118
13,м,0.002183406113537118
14,ь,0.0017740174672489083
15,д,0.0013646288209606986
16,я,0.0012281659388646289
17,б,0.0012281659388646289
18,г,0.001091703056768559
19,ч,0.001091703056768559
20,з,0.0008187772925764192
21,х,0.0005458515283842794
22,й,0.0005458515283842794
23,ш,0.0005458515283842794
24,ж,0.0004093886462882096
25,у,0.0004093886462882096
26,ю,0.0002729257641921397
27,щ,0.0002729257641921397
28,ъ,0.00013646288209606986
29,э,0.00013646288209606986
30,ф,0.00013646288209606986
