,b,freq
0,е,0.007368995633187773
1,а,0.007096069868995633
2,о,0.006550218340611353
3,с,0.005049126637554585
4,т,0.004366812227074236
5,н,0.003957423580786026
6,и,0.0036844978165938864
7,в,0.0035480349344978166
8,р,0.0032751091703056767
9,п,0.003002183406113537
10,л,0.0027292576419213972
11,к,0.0024563318777292577
12,м,0.0024563318777292577
13,д,0.001910480349344978
14,г,0.001910480349344978
15,у,0.0017740174672489083
16,ы,0.0017740174672489083
17,я,0.0016375545851528383
18,ь,0.0012281659388646289
19,ч,0.000955240174672489
20,б,0.000955240174672489
21,з,0.0008187772925764192
22,й,0.0008187772925764192
23,ц,0.0006823144104803493
24,ш,0.0004093886462882096
25,ю,0.0002729257641921397
26,ж,0.0002729257641921397
27,э,0.0002729257641921397
28,х,0.00013646288209606986
29,ъ,0.00013646288209606986
