,b,freq
0,е,0.008597161572052401
1,о,0.007914847161572052
2,н,0.005594978165938865
3,а,0.005594978165938865
4,и,0.004503275109170306
5,в,0.004366812227074236
6,т,0.003957423580786026
7,л,0.003411572052401747
8,с,0.0027292576419213972
9,м,0.0027292576419213972
10,п,0.0024563318777292577
11,р,0.002183406113537118
12,к,0.001910480349344978
13,ь,0.0017740174672489083
14,д,0.0015010917030567686
15,з,0.0015010917030567686
16,у,0.0013646288209606986
17,г,0.0013646288209606986
18,б,0.001091703056768559
19,ы,0.001091703056768559
20,я,0.000955240174672489
21,ц,0.0008187772925764192
22,ч,0.0008187772925764192
23,ю,0.0006823144104803493
24,ш,0.0006823144104803493
25,й,0.0005458515283842794
26,х,0.0005458515283842794
27,ж,0.0004093886462882096
28,ф,0.0002729257641921397
29,щ,0.00013646288209606986
