аа->0.000267 аб->0.000503 ав->0.002966 аг->0.000815 ад->0.001466 ае->0.001099 аё->0.000000 аж->0.001142 аз->0.002090 аи->0.000801 ай->0.000460 ак->0.003717 ал->0.004722 ам->0.002337 ан->0.002956 ао->0.000566 ап->0.001269 ар->0.001303 ас->0.003752 ат->0.002812 ау->0.000254 аф->0.000100 ах->0.000515 ац->0.000040 ач->0.000821 аш->0.000560 ащ->0.000122 аы->0.000000 аь->0.000000 аэ->0.000174 аю->0.000536 ая->0.001291 
ла->0.003482 лб->0.000181 лв->0.000396 лг->0.000245 лд->0.000158 ле->0.002459 лё->0.000008 лж->0.000193 лз->0.000087 ли->0.004214 лй->0.000000 лк->0.000524 лл->0.000149 лм->0.000097 лн->0.000492 ло->0.003446 лп->0.000341 лр->0.000107 лс->0.001181 лт->0.000166 лу->0.000865 лф->0.000028 лх->0.000018 лц->0.000006 лч->0.000368 лш->0.000009 лщ->0.000000 лы->0.000360 ль->0.002127 лэ->0.000044 лю->0.000554 ля->0.000936 
ма->0.001363 мб->0.000165 мв->0.000451 мг->0.000147 мд->0.000248 ме->0.002490 мё->0.000000 мж->0.000081 мз->0.000105 ми->0.001638 мй->0.000000 мк->0.000231 мл->0.000133 мм->0.000138 мн->0.001464 мо->0.002510 мп->0.000483 мр->0.000152 мс->0.000565 мт->0.000236 му->0.001499 мф->0.000008 мх->0.000047 мц->0.000007 мч->0.000257 мш->0.000019 мщ->0.000003 мы->0.000503 мь->0.000042 мэ->0.000060 мю->0.000000 мя->0.000292 
на->0.006002 нб->0.000143 нв->0.000244 нг->0.000067 нд->0.000252 не->0.006729 нё->0.000002 нж->0.000019 нз->0.000078 ни->0.004224 нй->0.000000 нк->0.000290 нл->0.000019 нм->0.000065 нн->0.001686 но->0.006353 нп->0.000188 нр->0.000096 нс->0.000386 нт->0.000307 ну->0.001475 нф->0.000072 нх->0.000024 нц->0.000097 нч->0.000256 нш->0.000015 нщ->0.000064 ны->0.001434 нь->0.000659 нэ->0.000024 ню->0.000091 ня->0.002036 
оа->0.000116 об->0.002656 ов->0.005910 ог->0.003154 од->0.003182 ое->0.001592 оё->0.000001 ож->0.001747 оз->0.000923 ои->0.001223 ой->0.001645 ок->0.001723 ол->0.003286 ом->0.003697 он->0.004589 оо->0.001188 оп->0.001976 ор->0.003119 ос->0.004714 от->0.004651 оу->0.000503 оф->0.000241 ох->0.000301 оц->0.000094 оч->0.002180 ош->0.000550 ощ->0.000115 оы->0.000000 оь->0.000000 оэ->0.000250 ою->0.000341 оя->0.000719 
па->0.000795 пб->0.000001 пв->0.000002 пг->0.000000 пд->0.000001 пе->0.001212 пё->0.000000 пж->0.000000 пз->0.000001 пи->0.000471 пй->0.000000 пк->0.000033 пл->0.000268 пм->0.000001 пн->0.000065 по->0.005243 пп->0.000328 пр->0.004218 пс->0.000021 пт->0.000083 пу->0.000309 пф->0.000000 пх->0.000000 пц->0.000007 пч->0.000013 пш->0.000001 пщ->0.000001 пы->0.000117 пь->0.000037 пэ->0.000000 пю->0.000002 пя->0.000295 
ра->0.004004 рб->0.000092 рв->0.000237 рг->0.000088 рд->0.000430 ре->0.002976 рё->0.000000 рж->0.000149 рз->0.000035 ри->0.002563 рй->0.000000 рк->0.000158 рл->0.000034 рм->0.000145 рн->0.000406 ро->0.004072 рп->0.000111 рр->0.000051 рс->0.000071 рт->0.000259 ру->0.001396 рф->0.000040 рх->0.000039 рц->0.000010 рч->0.000051 рш->0.000177 рщ->0.000004 ры->0.000564 рь->0.000526 рэ->0.000002 рю->0.000094 ря->0.000602 
са->0.001168 сб->0.000087 св->0.000879 сг->0.000084 сд->0.000197 се->0.002234 сё->0.000389 сж->0.000132 сз->0.000055 си->0.000869 сй->0.000000 ск->0.002074 сл->0.001800 см->0.000821 сн->0.000844 со->0.001566 сп->0.001235 ср->0.000130 сс->0.000584 ст->0.006001 су->0.000398 сф->0.000008 сх->0.000133 сц->0.000025 сч->0.000309 сш->0.000072 сщ->0.000000 сы->0.000118 сь->0.001996 сэ->0.000033 сю->0.000143 ся->0.002308 
та->0.003611 тб->0.000282 тв->0.001641 тг->0.000063 тд->0.000204 те->0.003288 тё->0.000000 тж->0.000040 тз->0.000081 ти->0.002458 тй->0.000000 тк->0.000391 тл->0.000183 тм->0.000132 тн->0.000860 то->0.009025 тп->0.000307 тр->0.001500 тс->0.000960 тт->0.000229 ту->0.000916 тф->0.000006 тх->0.000027 тц->0.000040 тч->0.000311 тш->0.000015 тщ->0.000013 ты->0.000644 ть->0.003869 тэ->0.000077 тю->0.000019 тя->0.000355 
уа->0.000111 уб->0.000374 ув->0.000754 уг->0.000896 уд->0.001139 уе->0.000163 уё->0.000000 уж->0.001045 уз->0.000246 уи->0.000315 уй->0.000090 ук->0.000552 ул->0.000673 ум->0.000987 ун->0.000573 уо->0.000182 уп->0.000633 ур->0.000357 ус->0.000859 ут->0.001121 уу->0.000070 уф->0.000017 ух->0.000231 уц->0.000002 уч->0.000768 уш->0.000340 ущ->0.000142 уы->0.000000 уь->0.000000 уэ->0.000050 ую->0.000422 уя->0.000071 
фа->0.000138 фб->0.000001 фв->0.000000 фг->0.000000 фд->0.000002 фе->0.000174 фё->0.000000 фж->0.000000 фз->0.000001 фи->0.000275 фй->0.000000 фк->0.000000 фл->0.000006 фм->0.000001 фн->0.000008 фо->0.000053 фп->0.000003 фр->0.000039 фс->0.000001 фт->0.000008 фу->0.000026 фф->0.000008 фх->0.000000 фц->0.000000 фч->0.000000 фш->0.000000 фщ->0.000000 фы->0.000002 фь->0.000141 фэ->0.000000 фю->0.000000 фя->0.000001 
ха->0.000273 хб->0.000053 хв->0.000218 хг->0.000051 хд->0.000099 хе->0.000056 хё->0.000000 хж->0.000024 хз->0.000045 хи->0.000199 хй->0.000000 хк->0.000088 хл->0.000098 хм->0.000095 хн->0.000207 хо->0.001400 хп->0.000173 хр->0.000074 хс->0.000200 хт->0.000067 ху->0.000098 хф->0.000010 хх->0.000008 хц->0.000005 хч->0.000038 хш->0.000005 хщ->0.000001 хы->0.000000 хь->0.000000 хэ->0.000021 хю->0.000001 хя->0.000014 
ца->0.000365 цб->0.000006 цв->0.000041 цг->0.000006 цд->0.000010 це->0.000405 цё->0.000000 цж->0.000001 цз->0.000011 ци->0.000087 цй->0.000000 цк->0.000059 цл->0.000004 цм->0.000006 цн->0.000026 цо->0.000148 цп->0.000028 цр->0.000011 цс->0.000022 цт->0.000008 цу->0.000088 цф->0.000000 цх->0.000005 цц->0.000000 цч->0.000010 цш->0.000001 цщ->0.000000 цы->0.000111 ць->0.000000 цэ->0.000004 цю->0.000000 ця->0.000004 
ча->0.001666 чб->0.000009 чв->0.000033 чг->0.000007 чд->0.000016 че->0.002379 чё->0.000000 чж->0.000001 чз->0.000003 чи->0.001003 чй->0.000000 чк->0.000154 чл->0.000017 чм->0.000014 чн->0.000530 чо->0.000055 чп->0.000034 чр->0.000189 чс->0.000026 чт->0.002727 чу->0.000380 чф->0.000001 чх->0.000003 чц->0.000001 чч->0.000006 чш->0.000076 чщ->0.000000 чы->0.000000 чь->0.000113 чэ->0.000005 чю->0.000000 чя->0.000003 
ша->0.000531 шб->0.000002 шв->0.000038 шг->0.000003 шд->0.000002 ше->0.001272 шё->0.000000 шж->0.000000 шз->0.000000 ши->0.000793 шй->0.000000 шк->0.000298 шл->0.000315 шм->0.000010 шн->0.000227 шо->0.000132 шп->0.000012 шр->0.000012 шс->0.000009 шт->0.000013 шу->0.000152 шф->0.000000 шх->0.000002 шц->0.000000 шч->0.000000 шш->0.000000 шщ->0.000000 шы->0.000000 шь->0.000263 шэ->0.000000 шю->0.000001 шя->0.000001 
ща->0.000177 щб->0.000001 щв->0.000004 щг->0.000000 щд->0.000004 ще->0.000870 щё->0.000000 щж->0.000000 щз->0.000000 щи->0.000251 щй->0.000000 щк->0.000002 щл->0.000000 щм->0.000001 щн->0.000034 що->0.000005 щп->0.000005 щр->0.000003 щс->0.000005 щт->0.000001 щу->0.000061 щф->0.000000 щх->0.000000 щц->0.000000 щч->0.000000 щш->0.000000 щщ->0.000000 щы->0.000000 щь->0.000013 щэ->0.000001 щю->0.000000 щя->0.000002 
ыа->0.000053 ыб->0.000193 ыв->0.000741 ыг->0.000098 ыд->0.000271 ые->0.000399 ыё->0.000000 ыж->0.000036 ыз->0.000115 ыи->0.000206 ый->0.000795 ык->0.000278 ыл->0.001153 ым->0.000709 ын->0.000487 ыо->0.000145 ып->0.000252 ыр->0.000160 ыс->0.000662 ыт->0.000688 ыу->0.000075 ыф->0.000004 ых->0.000500 ыц->0.000025 ыч->0.000270 ыш->0.000282 ыщ->0.000059 ыы->0.000000 ыь->0.000000 ыэ->0.000052 ыю->0.000001 ыя->0.000034 
ьа->0.000132 ьб->0.000254 ьв->0.000800 ьг->0.000172 ьд->0.000351 ье->0.000649 ьё->0.000000 ьж->0.000042 ьз->0.000253 ьи->0.000711 ьй->0.000000 ьк->0.001149 ьл->0.000141 ьм->0.000437 ьн->0.001592 ьо->0.000481 ьп->0.000619 ьр->0.000141 ьс->0.001115 ьт->0.000480 ьу->0.000195 ьф->0.000013 ьх->0.000102 ьц->0.000043 ьч->0.000426 ьш->0.000288 ьщ->0.000029 ьы->0.000000 ьь->0.000000 ьэ->0.000130 ью->0.000204 ья->0.000562 
эа->0.000000 эб->0.000000 эв->0.000002 эг->0.000003 эд->0.000004 эе->0.000000 эё->0.000000 эж->0.000000 эз->0.000001 эи->0.000000 эй->0.000002 эк->0.000029 эл->0.000004 эм->0.000003 эн->0.000003 эо->0.000000 эп->0.000008 эр->0.000000 эс->0.000002 эт->0.001659 эу->0.000000 эф->0.000007 эх->0.000010 эц->0.000000 эч->0.000000 эш->0.000005 эщ->0.000000 эы->0.000000 эь->0.000000 ээ->0.000003 эю->0.000000 эя->0.000000 
юа->0.000039 юб->0.000314 юв->0.000165 юг->0.000048 юд->0.000246 юе->0.000031 юё->0.000000 юж->0.000056 юз->0.000046 юи->0.000157 юй->0.000000 юк->0.000131 юл->0.000029 юм->0.000119 юн->0.000196 юо->0.000092 юп->0.000173 юр->0.000074 юс->0.000286 ют->0.000277 юу->0.000052 юф->0.000032 юх->0.000013 юц->0.000011 юч->0.000197 юш->0.000028 ющ->0.000131 юы->0.000000 юь->0.000000 юэ->0.000020 юю->0.000020 юя->0.000043 
яа->0.000116 яб->0.000274 яв->0.001028 яг->0.000170 яд->0.000660 яе->0.000246 яё->0.000000 яж->0.000151 яз->0.001445 яи->0.000639 яй->0.000018 як->0.000488 ял->0.000528 ям->0.000371 ян->0.001136 яо->0.000417 яп->0.000618 яр->0.000151 яс->0.000942 ят->0.001281 яу->0.000192 яф->0.000117 ях->0.000168 яц->0.000050 яч->0.000335 яш->0.000020 ящ->0.000082 яы->0.000000 яь->0.000000 яэ->0.000083 яю->0.000076 яя->0.000141 
