аа->0.000000 аб->0.000354 ав->0.003274 аг->0.000950 ад->0.001774 ае->0.001333 аё->0.000001 аж->0.001825 аз->0.003129 аи->0.000278 ай->0.000774 ак->0.005353 ал->0.007675 ам->0.003175 ан->0.003238 ао->0.000010 ап->0.000690 ар->0.001815 ас->0.005002 ат->0.003666 ау->0.000044 аф->0.000140 ах->0.000739 ац->0.000036 ач->0.000833 аш->0.000935 ащ->0.000183 аы->0.000000 аь->0.000000 аэ->0.000000 аю->0.000918 ая->0.001829 а ->0.016091 
ка->0.006167 кб->0.000000 кв->0.000153 кг->0.000001 кд->0.000026 ке->0.000469 кё->0.000000 кж->0.000006 кз->0.000006 ки->0.001833 кй->0.000000 кк->0.000005 кл->0.000441 км->0.000002 кн->0.002242 ко->0.007718 кп->0.000000 кр->0.001445 кс->0.000307 кт->0.000410 ку->0.001019 кф->0.000000 кх->0.000002 кц->0.000014 кч->0.000000 кш->0.000005 кщ->0.000000 кы->0.000000 кь->0.000021 кэ->0.000000 кю->0.000000 кя->0.000000 к ->0.004699 
ла->0.005650 лб->0.000030 лв->0.000025 лг->0.000182 лд->0.000020 ле->0.003687 лё->0.000013 лж->0.000300 лз->0.000018 ли->0.006449 лй->0.000000 лк->0.000226 лл->0.000133 лм->0.000006 лн->0.000234 ло->0.005040 лп->0.000049 лр->0.000000 лс->0.001453 лт->0.000034 лу->0.001304 лф->0.000004 лх->0.000000 лц->0.000001 лч->0.000208 лш->0.000002 лщ->0.000002 лы->0.000647 ль->0.003627 лэ->0.000000 лю->0.000922 ля->0.001445 л ->0.006842 
ма->0.002235 мб->0.000019 мв->0.000000 мг->0.000070 мд->0.000000 ме->0.004134 мё->0.000000 мж->0.000000 мз->0.000001 ми->0.002139 мй->0.000000 мк->0.000056 мл->0.000104 мм->0.000023 мн->0.001706 мо->0.003651 мп->0.000110 мр->0.000079 мс->0.000112 мт->0.000032 му->0.002234 мф->0.000006 мх->0.000000 мц->0.000005 мч->0.000053 мш->0.000000 мщ->0.000009 мы->0.000840 мь->0.000070 мэ->0.000000 мю->0.000000 мя->0.000354 м ->0.007928 
на->0.009902 нб->0.000003 нв->0.000006 нг->0.000030 нд->0.000285 не->0.011087 нё->0.000002 нж->0.000001 нз->0.000013 ни->0.006902 нй->0.000000 нк->0.000300 нл->0.000000 нм->0.000000 нн->0.002490 но->0.010387 нп->0.000000 нр->0.000090 нс->0.000253 нт->0.000334 ну->0.002237 нф->0.000046 нх->0.000000 нц->0.000159 нч->0.000296 нш->0.000016 нщ->0.000103 ны->0.002479 нь->0.001103 нэ->0.000000 ню->0.000157 ня->0.003437 н ->0.003556 
оа->0.000000 об->0.003196 ов->0.007053 ог->0.004754 од->0.004215 ое->0.001943 оё->0.000002 ож->0.002452 оз->0.000876 ои->0.000711 ой->0.002724 ок->0.001749 ол->0.005032 ом->0.005152 он->0.005293 оо->0.000176 оп->0.001155 ор->0.004638 ос->0.005539 от->0.006038 оу->0.000105 оф->0.000319 ох->0.000326 оц->0.000129 оч->0.002451 ош->0.000840 ощ->0.000184 оы->0.000000 оь->0.000000 оэ->0.000018 ою->0.000583 оя->0.000575 о ->0.025275 
па->0.001300 пб->0.000000 пв->0.000000 пг->0.000000 пд->0.000000 пе->0.002090 пё->0.000000 пж->0.000000 пз->0.000000 пи->0.000784 пй->0.000000 пк->0.000061 пл->0.000432 пм->0.000000 пн->0.000109 по->0.008803 пп->0.000533 пр->0.006870 пс->0.000027 пт->0.000149 пу->0.000539 пф->0.000001 пх->0.000000 пц->0.000012 пч->0.000011 пш->0.000002 пщ->0.000001 пы->0.000189 пь->0.000057 пэ->0.000000 пю->0.000003 пя->0.000485 п ->0.000037 
ра->0.006583 рб->0.000120 рв->0.000384 рг->0.000146 рд->0.000715 ре->0.005049 рё->0.000000 рж->0.000238 рз->0.000035 ри->0.004386 рй->0.000000 рк->0.000176 рл->0.000054 рм->0.000199 рн->0.000559 ро->0.006756 рп->0.000110 рр->0.000060 рс->0.000087 рт->0.000410 ру->0.002274 рф->0.000065 рх->0.000058 рц->0.000014 рч->0.000056 рш->0.000292 рщ->0.000011 ры->0.000909 рь->0.000893 рэ->0.000000 рю->0.000182 ря->0.000979 р ->0.000625 
са->0.001850 сб->0.000054 св->0.001243 сг->0.000018 сд->0.000169 се->0.003739 сё->0.000651 сж->0.000018 сз->0.000010 си->0.001285 сй->0.000000 ск->0.003228 сл->0.002872 см->0.001179 сн->0.000906 со->0.002442 сп->0.001667 ср->0.000125 сс->0.000711 ст->0.009674 су->0.000556 сф->0.000003 сх->0.000188 сц->0.000037 сч->0.000415 сш->0.000115 сщ->0.000000 сы->0.000199 сь->0.003260 сэ->0.000000 сю->0.000227 ся->0.003736 с ->0.003601 
та->0.005808 тб->0.000006 тв->0.002182 тг->0.000008 тд->0.000073 те->0.005473 тё->0.000000 тж->0.000001 тз->0.000006 ти->0.003623 тй->0.000000 тк->0.000327 тл->0.000251 тм->0.000014 тн->0.000863 то->0.014465 тп->0.000085 тр->0.002366 тс->0.001059 тт->0.000040 ту->0.001386 тф->0.000003 тх->0.000006 тц->0.000051 тч->0.000268 тш->0.000010 тщ->0.000021 ты->0.001145 ть->0.006485 тэ->0.000000 тю->0.000040 тя->0.000457 т ->0.005833 
уа->0.000033 уб->0.000483 ув->0.000658 уг->0.001403 уд->0.001626 уе->0.000162 уё->0.000000 уж->0.001589 уз->0.000261 уи->0.000010 уй->0.000151 ук->0.000544 ул->0.001033 ум->0.001272 ун->0.000159 уо->0.000002 уп->0.000525 ур->0.000455 ус->0.000899 ут->0.001457 уу->0.000001 уф->0.000002 ух->0.000319 уц->0.000004 уч->0.000787 уш->0.000546 ущ->0.000247 уы->0.000000 уь->0.000000 уэ->0.000011 ую->0.000728 уя->0.000025 у ->0.006409 
фа->0.000210 фб->0.000000 фв->0.000000 фг->0.000000 фд->0.000000 фе->0.000311 фё->0.000000 фж->0.000000 фз->0.000000 фи->0.000450 фй->0.000000 фк->0.000000 фл->0.000011 фм->0.000003 фн->0.000013 фо->0.000082 фп->0.000000 фр->0.000087 фс->0.000002 фт->0.000015 фу->0.000053 фф->0.000013 фх->0.000000 фц->0.000000 фч->0.000000 фш->0.000000 фщ->0.000000 фы->0.000003 фь->0.000240 фэ->0.000000 фю->0.000000 фя->0.000001 ф ->0.000023 
ха->0.000409 хб->0.000000 хв->0.000195 хг->0.000000 хд->0.000000 хе->0.000068 хё->0.000000 хж->0.000000 хз->0.000000 хи->0.000112 хй->0.000000 хк->0.000001 хл->0.000075 хм->0.000062 хн->0.000120 хо->0.002177 хп->0.000000 хр->0.000065 хс->0.000032 хт->0.000000 ху->0.000086 хф->0.000000 хх->0.000000 хц->0.000000 хч->0.000000 хш->0.000003 хщ->0.000000 хы->0.000000 хь->0.000000 хэ->0.000000 хю->0.000000 хя->0.000000 х ->0.002639 
ца->0.000585 цб->0.000000 цв->0.000020 цг->0.000000 цд->0.000000 це->0.000654 цё->0.000000 цж->0.000000 цз->0.000000 ци->0.000121 цй->0.000000 цк->0.000067 цл->0.000000 цм->0.000003 цн->0.000000 цо->0.000201 цп->0.000000 цр->0.000000 цс->0.000000 цт->0.000000 цу->0.000137 цф->0.000000 цх->0.000000 цц->0.000000 цч->0.000000 цш->0.000000 цщ->0.000000 цы->0.000193 ць->0.000000 цэ->0.000000 цю->0.000000 ця->0.000000 ц ->0.000426 
ча->0.002770 чб->0.000000 чв->0.000001 чг->0.000000 чд->0.000000 че->0.003945 чё->0.000001 чж->0.000000 чз->0.000000 чи->0.001623 чй->0.000000 чк->0.000236 чл->0.000033 чм->0.000001 чн->0.000847 чо->0.000070 чп->0.000000 чр->0.000297 чс->0.000001 чт->0.004580 чу->0.000651 чф->0.000000 чх->0.000000 чц->0.000000 чч->0.000000 чш->0.000140 чщ->0.000000 чы->0.000000 чь->0.000195 чэ->0.000000 чю->0.000000 чя->0.000000 ч ->0.000478 
ша->0.000857 шб->0.000000 шв->0.000059 шг->0.000000 шд->0.000000 ше->0.002082 шё->0.000000 шж->0.000000 шз->0.000000 ши->0.001369 шй->0.000000 шк->0.000504 шл->0.000499 шм->0.000015 шн->0.000346 шо->0.000219 шп->0.000011 шр->0.000011 шс->0.000000 шт->0.000025 шу->0.000260 шф->0.000000 шх->0.000000 шц->0.000000 шч->0.000000 шш->0.000000 шщ->0.000000 шы->0.000000 шь->0.000439 шэ->0.000000 шю->0.000001 шя->0.000000 ш ->0.000087 
ща->0.000287 щб->0.000000 щв->0.000000 щг->0.000000 щд->0.000000 ще->0.001437 щё->0.000000 щж->0.000000 щз->0.000000 щи->0.000467 щй->0.000000 щк->0.000000 щл->0.000000 щм->0.000000 щн->0.000049 що->0.000001 щп->0.000000 щр->0.000004 щс->0.000000 щт->0.000000 щу->0.000107 щф->0.000000 щх->0.000000 щц->0.000000 щч->0.000000 щш->0.000000 щщ->0.000000 щы->0.000000 щь->0.000017 щэ->0.000000 щю->0.000000 щя->0.000000 щ ->0.000076 
ыа->0.000000 ыб->0.000140 ыв->0.000758 ыг->0.000077 ыд->0.000170 ые->0.000559 ыё->0.000000 ыж->0.000016 ыз->0.000042 ыи->0.000009 ый->0.001279 ык->0.000212 ыл->0.001873 ым->0.000946 ын->0.000268 ыо->0.000000 ып->0.000070 ыр->0.000198 ыс->0.000724 ыт->0.000854 ыу->0.000002 ыф->0.000000 ых->0.000753 ыц->0.000032 ыч->0.000309 ыш->0.000437 ыщ->0.000109 ыы->0.000000 ыь->0.000000 ыэ->0.000000 ыю->0.000000 ыя->0.000002 ы ->0.004569 
ьа->0.000000 ьб->0.000115 ьв->0.000014 ьг->0.000076 ьд->0.000040 ье->0.000658 ьё->0.000000 ьж->0.000000 ьз->0.000107 ьи->0.000124 ьй->0.000000 ьк->0.001188 ьл->0.000000 ьм->0.000296 ьн->0.001307 ьо->0.000004 ьп->0.000000 ьр->0.000000 ьс->0.000870 ьт->0.000183 ьу->0.000000 ьф->0.000005 ьх->0.000000 ьц->0.000052 ьч->0.000069 ьш->0.000407 ьщ->0.000006 ьы->0.000000 ьь->0.000000 ьэ->0.000004 ью->0.000333 ья->0.000602 ь ->0.012505 
эа->0.000000 эб->0.000000 эв->0.000003 эг->0.000011 эд->0.000004 эе->0.000000 эё->0.000000 эж->0.000000 эз->0.000002 эи->0.000000 эй->0.000006 эк->0.000049 эл->0.000011 эм->0.000006 эн->0.000005 эо->0.000000 эп->0.000012 эр->0.000000 эс->0.000003 эт->0.002813 эу->0.000000 эф->0.000014 эх->0.000015 эц->0.000000 эч->0.000000 эш->0.000008 эщ->0.000000 эы->0.000000 эь->0.000000 ээ->0.000000 эю->0.000000 эя->0.000000 э ->0.000010 
юа->0.000000 юб->0.000429 юв->0.000000 юг->0.000001 юд->0.000281 юе->0.000001 юё->0.000000 юж->0.000015 юз->0.000005 юи->0.000000 юй->0.000000 юк->0.000002 юл->0.000008 юм->0.000021 юн->0.000026 юо->0.000000 юп->0.000002 юр->0.000048 юс->0.000187 ют->0.000274 юу->0.000000 юф->0.000001 юх->0.000002 юц->0.000001 юч->0.000133 юш->0.000023 ющ->0.000170 юы->0.000000 юь->0.000000 юэ->0.000000 юю->0.000028 юя->0.000000 ю ->0.003311 
яа->0.000000 яб->0.000006 яв->0.000247 яг->0.000047 яд->0.000501 яе->0.000098 яё->0.000000 яж->0.000110 яз->0.001920 яи->0.000007 яй->0.000025 як->0.000163 ял->0.000798 ям->0.000316 ян->0.000525 яо->0.000000 яп->0.000025 яр->0.000033 яс->0.000526 ят->0.001475 яу->0.000000 яф->0.000000 ях->0.000139 яц->0.000076 яч->0.000175 яш->0.000008 ящ->0.000124 яы->0.000000 яь->0.000000 яэ->0.000000 яю->0.000125 яя->0.000074 я ->0.012284 
 а->0.002516  б->0.006757  в->0.016908  г->0.003708  д->0.007670  е->0.004176  ё->0.000000  ж->0.002204  з->0.004349  и->0.011611  й->0.000000  к->0.009242  л->0.002698  м->0.006124  н->0.016763  о->0.010328  п->0.014957  р->0.003764  с->0.015478  т->0.009521  у->0.004686  ф->0.000854  х->0.001507  ц->0.000285  ч->0.006627  ш->0.000563  щ->0.000109  ы->0.000000  ь->0.000000  э->0.002938  ю->0.000034  я->0.002960   ->0.000000 
