аа->0.000000 аб->0.000188 ав->0.001578 аг->0.000490 ад->0.000888 ае->0.000656 аж->0.000892 аз->0.001509 аи->0.000135 ай->0.000378 ак->0.002707 ал->0.003846 ам->0.001604 ан->0.001580 ао->0.000004 ап->0.000332 ар->0.000917 ас->0.002483 ат->0.001854 ау->0.000022 аф->0.000054 ах->0.000369 ац->0.000021 ач->0.000418 аш->0.000475 ащ->0.000098 аы->0.000000 аь->0.000000 аэ->0.000000 аю->0.000466 ая->0.000901 а ->0.007999 
ма->0.001121 мб->0.000009 мв->0.000000 мг->0.000032 мд->0.000000 ме->0.002086 мж->0.000000 мз->0.000001 ми->0.001035 мй->0.000000 мк->0.000024 мл->0.000049 мм->0.000013 мн->0.000888 мо->0.001799 мп->0.000059 мр->0.000046 мс->0.000057 мт->0.000013 му->0.001101 мф->0.000004 мх->0.000000 мц->0.000004 мч->0.000030 мш->0.000000 мщ->0.000002 мы->0.000424 мь->0.000033 мэ->0.000000 мю->0.000000 мя->0.000177 м ->0.003927 
на->0.004964 нб->0.000002 нв->0.000003 нг->0.000015 нд->0.000145 не->0.005652 нж->0.000000 нз->0.000006 ни->0.003429 нй->0.000000 нк->0.000154 нл->0.000000 нм->0.000000 нн->0.001235 но->0.005163 нп->0.000000 нр->0.000042 нс->0.000127 нт->0.000179 ну->0.001103 нф->0.000027 нх->0.000000 нц->0.000091 нч->0.000165 нш->0.000009 нщ->0.000055 ны->0.001247 нь->0.000587 нэ->0.000000 ню->0.000082 ня->0.001730 н ->0.001811 
оа->0.000000 об->0.001598 ов->0.003500 ог->0.002409 од->0.002125 ое->0.000955 ож->0.001257 оз->0.000417 ои->0.000345 ой->0.001395 ок->0.000874 ол->0.002571 ом->0.002547 он->0.002628 оо->0.000085 оп->0.000584 ор->0.002382 ос->0.002790 от->0.003059 оу->0.000049 оф->0.000149 ох->0.000174 оц->0.000057 оч->0.001244 ош->0.000422 ощ->0.000091 оы->0.000000 оь->0.000000 оэ->0.000009 ою->0.000302 оя->0.000292 о ->0.012716 
па->0.000629 пб->0.000000 пв->0.000000 пг->0.000000 пд->0.000000 пе->0.001056 пж->0.000000 пз->0.000000 пи->0.000399 пй->0.000000 пк->0.000027 пл->0.000212 пм->0.000000 пн->0.000063 по->0.004369 пп->0.000258 пр->0.003363 пс->0.000014 пт->0.000087 пу->0.000257 пф->0.000000 пх->0.000000 пц->0.000007 пч->0.000005 пш->0.000000 пщ->0.000000 пы->0.000095 пь->0.000027 пэ->0.000000 пю->0.000002 пя->0.000250 п ->0.000023 
ра->0.003365 рб->0.000058 рв->0.000203 рг->0.000078 рд->0.000348 ре->0.002519 рж->0.000116 рз->0.000015 ри->0.002226 рй->0.000000 рк->0.000077 рл->0.000026 рм->0.000107 рн->0.000273 ро->0.003374 рп->0.000048 рр->0.000032 рс->0.000044 рт->0.000197 ру->0.001136 рф->0.000036 рх->0.000023 рц->0.000007 рч->0.000026 рш->0.000142 рщ->0.000008 ры->0.000446 рь->0.000440 рэ->0.000000 рю->0.000078 ря->0.000476 р ->0.000308 
са->0.000908 сб->0.000026 св->0.000614 сг->0.000006 сд->0.000087 се->0.001850 сж->0.000008 сз->0.000004 си->0.000633 сй->0.000000 ск->0.001593 сл->0.001424 см->0.000591 сн->0.000437 со->0.001207 сп->0.000851 ср->0.000063 сс->0.000364 ст->0.004861 су->0.000296 сф->0.000000 сх->0.000097 сц->0.000019 сч->0.000202 сш->0.000060 сщ->0.000000 сы->0.000103 сь->0.001679 сэ->0.000000 сю->0.000103 ся->0.001852 с ->0.001824 
та->0.002897 тб->0.000000 тв->0.001092 тг->0.000003 тд->0.000026 те->0.002713 тж->0.000001 тз->0.000005 ти->0.001813 тй->0.000000 тк->0.000171 тл->0.000126 тм->0.000010 тн->0.000424 то->0.007109 тп->0.000043 тр->0.001201 тс->0.000513 тт->0.000022 ту->0.000671 тф->0.000000 тх->0.000002 тц->0.000028 тч->0.000130 тш->0.000006 тщ->0.000012 ты->0.000568 ть->0.003260 тэ->0.000000 тю->0.000022 тя->0.000227 т ->0.002890 
уа->0.000016 уб->0.000243 ув->0.000345 уг->0.000700 уд->0.000804 уе->0.000078 уж->0.000799 уз->0.000141 уи->0.000004 уй->0.000076 ук->0.000261 ул->0.000532 ум->0.000654 ун->0.000083 уо->0.000002 уп->0.000272 ур->0.000243 ус->0.000450 ут->0.000742 уу->0.000000 уф->0.000001 ух->0.000158 уц->0.000003 уч->0.000394 уш->0.000267 ущ->0.000122 уы->0.000000 уь->0.000000 уэ->0.000005 ую->0.000354 уя->0.000015 у ->0.003243 
фа->0.000116 фб->0.000000 фв->0.000000 фг->0.000000 фд->0.000000 фе->0.000156 фж->0.000000 фз->0.000000 фи->0.000214 фй->0.000000 фк->0.000000 фл->0.000008 фм->0.000001 фн->0.000007 фо->0.000044 фп->0.000000 фр->0.000049 фс->0.000001 фт->0.000009 фу->0.000026 фф->0.000005 фх->0.000000 фц->0.000000 фч->0.000000 фш->0.000000 фщ->0.000000 фы->0.000001 фь->0.000132 фэ->0.000000 фю->0.000000 фя->0.000000 ф ->0.000013 
ха->0.000216 хб->0.000000 хв->0.000100 хг->0.000000 хд->0.000000 хе->0.000032 хж->0.000000 хз->0.000000 хи->0.000049 хй->0.000000 хк->0.000001 хл->0.000038 хм->0.000036 хн->0.000054 хо->0.001096 хп->0.000000 хр->0.000032 хс->0.000015 хт->0.000000 ху->0.000049 хф->0.000000 хх->0.000000 хц->0.000000 хч->0.000000 хш->0.000001 хщ->0.000000 хы->0.000000 хь->0.000000 хэ->0.000000 хю->0.000000 хя->0.000000 х ->0.001363 
