аа->0.000560 аб->0.001016 ав->0.005896 аг->0.001638 ад->0.003027 ае->0.002197 аж->0.002382 аз->0.004204 аи->0.001629 ай->0.000932 ак->0.007561 ал->0.009553 ам->0.004570 ан->0.005926 ао->0.001166 ап->0.002537 ар->0.002579 ас->0.007653 ат->0.005517 ау->0.000537 аф->0.000221 ах->0.001053 ац->0.000075 ач->0.001645 аш->0.001185 ащ->0.000231 аы->0.000000 аь->0.000000 аэ->0.000346 аю->0.001106 ая->0.002606 
ма->0.002805 мб->0.000338 мв->0.000898 мг->0.000294 мд->0.000505 ме->0.005155 мж->0.000165 мз->0.000210 ми->0.003343 мй->0.000000 мк->0.000466 мл->0.000280 мм->0.000272 мн->0.002979 мо->0.005054 мп->0.000978 мр->0.000314 мс->0.001168 мт->0.000513 му->0.003011 мф->0.000025 мх->0.000095 мц->0.000012 мч->0.000522 мш->0.000044 мщ->0.000017 мы->0.001011 мь->0.000085 мэ->0.000095 мю->0.000001 мя->0.000598 
на->0.011974 нб->0.000279 нв->0.000445 нг->0.000131 нд->0.000499 не->0.013435 нж->0.000032 нз->0.000135 ни->0.008614 нй->0.000000 нк->0.000551 нл->0.000043 нм->0.000129 нн->0.003426 но->0.012735 нп->0.000419 нр->0.000196 нс->0.000729 нт->0.000645 ну->0.002878 нф->0.000144 нх->0.000043 нц->0.000195 нч->0.000481 нш->0.000036 нщ->0.000124 ны->0.002986 нь->0.001326 нэ->0.000039 ню->0.000189 ня->0.004183 
оа->0.000269 об->0.005350 ов->0.011765 ог->0.006251 од->0.006292 ое->0.003193 ож->0.003472 оз->0.001827 ои->0.002525 ой->0.003276 ок->0.003475 ол->0.006526 ом->0.007381 он->0.009262 оо->0.002358 оп->0.003957 ор->0.006269 ос->0.009422 от->0.009207 оу->0.001064 оф->0.000458 ох->0.000616 оц->0.000188 оч->0.004184 ош->0.001106 ощ->0.000233 оы->0.000000 оь->0.000000 оэ->0.000480 ою->0.000704 оя->0.001469 
па->0.001568 пб->0.000003 пв->0.000003 пг->0.000000 пд->0.000001 пе->0.002518 пж->0.000000 пз->0.000003 пи->0.000953 пй->0.000000 пк->0.000076 пл->0.000519 пм->0.000001 пн->0.000136 по->0.010604 пп->0.000644 пр->0.008270 пс->0.000034 пт->0.000181 пу->0.000648 пф->0.000001 пх->0.000001 пц->0.000015 пч->0.000019 пш->0.000003 пщ->0.000001 пы->0.000227 пь->0.000069 пэ->0.000000 пю->0.000004 пя->0.000584 
ра->0.007946 рб->0.000175 рв->0.000524 рг->0.000185 рд->0.000884 ре->0.006088 рж->0.000290 рз->0.000060 ри->0.005351 рй->0.000000 рк->0.000262 рл->0.000071 рм->0.000263 рн->0.000751 ро->0.008186 рп->0.000213 рр->0.000089 рс->0.000165 рт->0.000515 ру->0.002757 рф->0.000081 рх->0.000077 рц->0.000018 рч->0.000090 рш->0.000353 рщ->0.000014 ры->0.001095 рь->0.001075 рэ->0.000004 рю->0.000222 ря->0.001193 
са->0.002297 сб->0.000187 св->0.001804 сг->0.000159 сд->0.000391 се->0.005374 сж->0.000269 сз->0.000090 си->0.001729 сй->0.000000 ск->0.004196 сл->0.003555 см->0.001561 сн->0.001676 со->0.003152 сп->0.002367 ср->0.000247 сс->0.001170 ст->0.011974 су->0.000850 сф->0.000015 сх->0.000245 сц->0.000056 сч->0.000621 сш->0.000155 сщ->0.000000 сы->0.000239 сь->0.003928 сэ->0.000063 сю->0.000276 ся->0.004535 
та->0.007121 тб->0.000567 тв->0.003290 тг->0.000127 тд->0.000393 те->0.006762 тж->0.000086 тз->0.000163 ти->0.004939 тй->0.000000 тк->0.000769 тл->0.000389 тм->0.000251 тн->0.001707 то->0.017742 тп->0.000598 тр->0.003009 тс->0.001888 тт->0.000462 ту->0.001829 тф->0.000013 тх->0.000050 тц->0.000066 тч->0.000659 тш->0.000029 тщ->0.000025 ты->0.001377 ть->0.007806 тэ->0.000171 тю->0.000049 тя->0.000690 
уа->0.000209 уб->0.000751 ув->0.001549 уг->0.001831 уд->0.002267 уе->0.000344 уж->0.002039 уз->0.000471 уи->0.000599 уй->0.000181 ук->0.001098 ул->0.001355 ум->0.001922 ун->0.001139 уо->0.000400 уп->0.001264 ур->0.000690 ус->0.001677 ут->0.002231 уу->0.000162 уф->0.000030 ух->0.000443 уц->0.000008 уч->0.001481 уш->0.000673 ущ->0.000297 уы->0.000000 уь->0.000000 уэ->0.000106 ую->0.000877 уя->0.000150 
фа->0.000255 фб->0.000002 фв->0.000003 фг->0.000000 фд->0.000002 фе->0.000375 фж->0.000000 фз->0.000001 фи->0.000546 фй->0.000000 фк->0.000001 фл->0.000014 фм->0.000004 фн->0.000017 фо->0.000101 фп->0.000004 фр->0.000073 фс->0.000003 фт->0.000019 фу->0.000064 фф->0.000017 фх->0.000000 фц->0.000000 фч->0.000001 фш->0.000000 фщ->0.000000 фы->0.000004 фь->0.000289 фэ->0.000000 фю->0.000000 фя->0.000002 
ха->0.000544 хб->0.000101 хв->0.000474 хг->0.000091 хд->0.000199 хе->0.000148 хж->0.000042 хз->0.000075 хи->0.000389 хй->0.000000 хк->0.000183 хл->0.000196 хм->0.000176 хн->0.000396 хо->0.002828 хп->0.000362 хр->0.000145 хс->0.000379 хт->0.000135 ху->0.000184 хф->0.000018 хх->0.000023 хц->0.000008 хч->0.000074 хш->0.000018 хщ->0.000005 хы->0.000000 хь->0.000000 хэ->0.000036 хю->0.000001 хя->0.000044 
ца->0.000712 цб->0.000011 цв->0.000079 цг->0.000008 цд->0.000017 це->0.000791 цж->0.000002 цз->0.000019 ци->0.000188 цй->0.000000 цк->0.000115 цл->0.000007 цм->0.000013 цн->0.000050 цо->0.000279 цп->0.000059 цр->0.000019 цс->0.000046 цт->0.000019 цу->0.000181 цф->0.000000 цх->0.000005 цц->0.000000 цч->0.000019 цш->0.000002 цщ->0.000000 цы->0.000233 ць->0.000000 цэ->0.000008 цю->0.000000 ця->0.000009 
ча->0.003351 чб->0.000019 чв->0.000069 чг->0.000013 чд->0.000033 че->0.004777 чж->0.000001 чз->0.000011 чи->0.002003 чй->0.000000 чк->0.000315 чл->0.000042 чм->0.000022 чн->0.001067 чо->0.000115 чп->0.000071 чр->0.000372 чс->0.000056 чт->0.005553 чу->0.000795 чф->0.000001 чх->0.000004 чц->0.000001 чч->0.000016 чш->0.000169 чщ->0.000000 чы->0.000000 чь->0.000235 чэ->0.000007 чю->0.000000 чя->0.000009 
ша->0.001032 шб->0.000005 шв->0.000085 шг->0.000005 шд->0.000003 ше->0.002508 шж->0.000002 шз->0.000001 ши->0.001651 шй->0.000000 шк->0.000614 шл->0.000602 шм->0.000021 шн->0.000422 шо->0.000272 шп->0.000026 шр->0.000018 шс->0.000014 шт->0.000033 шу->0.000314 шф->0.000001 шх->0.000003 шц->0.000000 шч->0.000000 шш->0.000000 шщ->0.000000 шы->0.000000 шь->0.000528 шэ->0.000001 шю->0.000001 шя->0.000003 
ща->0.000348 щб->0.000008 щв->0.000006 щг->0.000002 щд->0.000008 ще->0.001734 щж->0.000000 щз->0.000000 щи->0.000575 щй->0.000000 щк->0.000005 щл->0.000001 щм->0.000002 щн->0.000064 що->0.000008 щп->0.000010 щр->0.000007 щс->0.000009 щт->0.000002 щу->0.000130 щф->0.000000 щх->0.000000 щц->0.000000 щч->0.000003 щш->0.000000 щщ->0.000000 щы->0.000000 щь->0.000020 щэ->0.000001 щю->0.000000 щя->0.000004 
ыа->0.000114 ыб->0.000352 ыв->0.001489 ыг->0.000194 ыд->0.000508 ые->0.000819 ыж->0.000076 ыз->0.000235 ыи->0.000394 ый->0.001541 ык->0.000538 ыл->0.002315 ым->0.001406 ын->0.000966 ыо->0.000289 ып->0.000514 ыр->0.000333 ыс->0.001337 ыт->0.001386 ыу->0.000150 ыф->0.000005 ых->0.000968 ыц->0.000046 ыч->0.000551 ыш->0.000536 ыщ->0.000132 ыы->0.000000 ыь->0.000000 ыэ->0.000086 ыю->0.000002 ыя->0.000069 
ьа->0.000264 ьб->0.000519 ьв->0.001592 ьг->0.000345 ьд->0.000677 ье->0.001277 ьж->0.000089 ьз->0.000494 ьи->0.001417 ьй->0.000000 ьк->0.002272 ьл->0.000275 ьм->0.000896 ьн->0.003169 ьо->0.000927 ьп->0.001245 ьр->0.000287 ьс->0.002257 ьт->0.000967 ьу->0.000392 ьф->0.000031 ьх->0.000190 ьц->0.000084 ьч->0.000819 ьш->0.000520 ьщ->0.000064 ьы->0.000000 ьь->0.000000 ьэ->0.000271 ью->0.000405 ья->0.001085 
эа->0.000000 эб->0.000000 эв->0.000004 эг->0.000013 эд->0.000006 эе->0.000000 эж->0.000000 эз->0.000002 эи->0.000000 эй->0.000007 эк->0.000059 эл->0.000013 эм->0.000007 эн->0.000007 эо->0.000000 эп->0.000015 эр->0.000000 эс->0.000004 эт->0.003387 эу->0.000000 эф->0.000017 эх->0.000018 эц->0.000000 эч->0.000001 эш->0.000010 эщ->0.000000 эы->0.000000 эь->0.000000 ээ->0.000009 эю->0.000000 эя->0.000000 
юа->0.000064 юб->0.000611 юв->0.000350 юг->0.000095 юд->0.000517 юе->0.000064 юж->0.000114 юз->0.000102 юи->0.000337 юй->0.000000 юк->0.000245 юл->0.000073 юм->0.000231 юн->0.000394 юо->0.000191 юп->0.000351 юр->0.000146 юс->0.000561 ют->0.000546 юу->0.000099 юф->0.000060 юх->0.000019 юц->0.000019 юч->0.000369 юш->0.000040 ющ->0.000215 юы->0.000000 юь->0.000000 юэ->0.000045 юю->0.000035 юя->0.000084 
яа->0.000229 яб->0.000561 яв->0.001971 яг->0.000374 яд->0.001279 яе->0.000483 яж->0.000296 яз->0.002740 яи->0.001269 яй->0.000030 як->0.000995 ял->0.001131 ям->0.000771 ян->0.002333 яо->0.000838 яп->0.001232 яр->0.000293 яс->0.001871 ят->0.002588 яу->0.000399 яф->0.000246 ях->0.000343 яц->0.000107 яч->0.000674 яш->0.000047 ящ->0.000157 яы->0.000000 яь->0.000000 яэ->0.000179 яю->0.000152 яя->0.000277 
