 а	 3716	 0.0016448038186360344
 б	 17252	 0.007636209762946412
 в	 31125	 0.01377678117735376
 г	 10018	 0.004434242372200159
 д	 16840	 0.00745384722977148
 е	 8748	 0.003872105437413356
 ж	 2987	 0.0013221283655182549
 з	 10605	 0.004694064719223667
 и	 21133	 0.00935404712035396
 й	 38	 1.6819845292833507e-05
 к	 21975	 0.009726739481842534
 л	 5670	 0.0025096979686938417
 м	 14850	 0.006573018489436252
 н	 32798	 0.01451729699774614
 о	 27039	 0.011968205180866453
 п	 37753	 0.016710516298430088
 р	 11715	 0.0051853812527774875
 с	 31905	 0.014122030633364552
 т	 17504	 0.00774775189488836
 у	 10293	 0.0045559649368193495
 ф	 1587	 0.0007024498547296519
 х	 3566	 0.0015784096924801128
 ц	 777	 0.0003439215734876746
 ч	 12039	 0.0053287925652742785
 ш	 2503	 0.0011078966517884808
 щ	 337	 0.00014916547009697083
 э	 7389	 0.003270574654440705
 ю	 119	 5.2672673417031245e-05
 я	 3987	 0.0017647558732243997
а 	 39434	 0.017454573138884117
аа	 336	 0.0001487228425892647
аб	 1748	 0.0007737128834703413
ав	 5724	 0.0025335998541099734
аг	 1547	 0.0006847447544214061
ад	 3926	 0.001737755595254325
ае	 2906	 0.0012862755373940571
аж	 2345	 0.0010379615055709098
аз	 6450	 0.0028549474247046348
аи	 290	 0.00012836197723478201
ай	 2375	 0.0010512403308020942
ак	 10232	 0.0045289646588492745
ал	 22060	 0.009764362819997556
ам	 5451	 0.002412762544506196
ан	 6600	 0.0029213415508605564
ао	 46	 2.0360865354482666e-05
ап	 2499	 0.0011061261417576562
ар	 5288	 0.0023406142607500942
ас	 8564	 0.003790661975995425
ат	 9194	 0.004069517305850296
ау	 646	 0.0002859373699781696
аф	 323	 0.0001429686849890848
ах	 2259	 0.0009998955399081813
ац	 396	 0.0001752804930516334
ач	 2028	 0.0008976485856280619
аш	 1177	 0.0005209725765701325
ащ	 746	 0.0003302001207487841
аэ	 28	 1.2393570215772057e-05
аю	 2407	 0.0010654044110486908
ая	 3966	 0.0017554606955625708
б 	 623	 0.00027575693730092827
ба	 2136	 0.0009454523564603255
бб	 100	 4.426275077061449e-05
бв	 74	 3.275443557025472e-05
бг	 14	 6.196785107886029e-06
бд	 29	 1.2836197723478202e-05
бе	 6992	 0.0030948515338813654
бж	 40	 1.7705100308245797e-05
бз	 5	 2.2131375385307246e-06
би	 5001	 0.0022135801660384305
бк	 368	 0.00016288692283586133
бл	 1974	 0.00087374670021193
бм	 39	 1.726247280053965e-05
бн	 706	 0.0003124950204405383
бо	 5383	 0.002382663873982178
бр	 2764	 0.0012234224312997846
бс	 304	 0.00013455876234266806
бт	 28	 1.2393570215772057e-05
бу	 2003	 0.0008865828979354082
бх	 114	 5.045953587850052e-05
бц	 6	 2.6557650462368695e-06
бч	 8	 3.541020061649159e-06
бш	 26	 1.1508315200359768e-05
бщ	 168	 7.436142129463235e-05
бы	 4674	 0.0020688409710185214
бь	 298	 0.0001319029972964312
бэ	 59	 2.611502295466255e-05
бю	 27	 1.1950942708065912e-05
бя	 971	 0.0004297913099826667
в 	 13645	 0.006039652342650347
ва	 11776	 0.0052123815307475625
вб	 17	 7.524667631004463e-06
вв	 204	 9.029601157205357e-05
вг	 43	 1.903298283136423e-05
вд	 467	 0.00020670704609876967
ве	 10306	 0.004561719094419529
вж	 10	 4.426275077061449e-06
вз	 1028	 0.00045502107792191697
ви	 6519	 0.0028854887227363585
вк	 502	 0.00022219900886848474
вл	 1112	 0.0004922017885692332
вм	 254	 0.0001124273869573608
вн	 3101	 0.0013725879013967554
во	 11359	 0.0050278058600341
вп	 435	 0.00019254296585217303
вр	 1353	 0.0005988750179264141
вс	 5130	 0.0022706791145325235
вт	 746	 0.0003302001207487841
ву	 1525	 0.000675006949251871
вф	 1	 4.426275077061449e-07
вх	 55	 2.434451292383797e-05
вц	 40	 1.7705100308245797e-05
вч	 90	 3.983647569355304e-05
вш	 1160	 0.0005134479089391281
вщ	 13	 5.754157600179884e-06
вы	 5168	 0.002287498959825357
вь	 999	 0.00044218488019843875
вю	 9	 3.983647569355304e-06
вя	 505	 0.00022352689139160318
г 	 1726	 0.0007639750783008061
га	 3103	 0.0013734731564121676
гб	 9	 3.983647569355304e-06
гв	 28	 1.2393570215772057e-05
гг	 182	 8.055820640251838e-05
гд	 2984	 0.0013208004829951363
ге	 1410	 0.0006241047858656643
гз	 6	 2.6557650462368695e-06
ги	 1511	 0.0006688101641439849
гк	 251	 0.00011109950443424237
гл	 3746	 0.0016580826438672188
гм	 12	 5.311530092473739e-06
гн	 870	 0.00038508593170434607
го	 16099	 0.007125860246561227
гр	 2238	 0.0009906003622463524
гс	 44	 1.9475610339070376e-05
гт	 76	 3.3639690585667015e-05
гу	 1327	 0.0005873667027260543
гф	 10	 4.426275077061449e-06
гх	 5	 2.2131375385307246e-06
гч	 81	 3.585282812419774e-05
гш	 14	 6.196785107886029e-06
гы	 2	 8.852550154122898e-07
гэ	 24	 1.0623060184947478e-05
д 	 2744	 0.0012145698811456616
да	 9392	 0.004157157552376113
дб	 65	 2.877078800089942e-05
дв	 2357	 0.0010432730356633836
дг	 35	 1.549196276971507e-05
дд	 1724	 0.0007630898232853938
де	 11046	 0.004889263450122076
дж	 1290	 0.000570989484940927
дз	 35	 1.549196276971507e-05
ди	 6284	 0.0027814712584254145
дк	 513	 0.00022706791145325235
дл	 1257	 0.0005563827771866241
дм	 137	 6.0639968555741855e-05
дн	 3667	 0.0016231150707584335
до	 7323	 0.0032413612389320993
